Gene,Metabolite,a (g→m),b (m→e|g),c_total (g→e),c_direct,prop_mediated,sobel_z,sobel_p,FDR
Zm00001d018428,C_957_115.0039mz_1.71min_9228_,-0.47384346591455884,0.34829842165346864,-0.33799944215353583,-0.17296051086468578,0.4882816676776683,-1.519174239896934,0.1443696773316272,0.2468240416318843
Zm00001d018428,C_34974_183.0416mz_5.73min_84213_,-0.5208536029786908,0.37500113444546096,-0.33799944215353583,-0.14267875015651865,0.5778728235542264,-1.5141727669759666,0.14562618456281173,0.2468240416318843
Zm00001d018428,C_917_212.0385mz_1.69min_86156_,-0.3956441156409196,0.3985982397158041,-0.33799944215353583,-0.18029639410514817,0.46657783528752467,-1.50274074407358,0.14853206847834954,0.24755344746391592
Zm00001d018428,C_43504_312.1740mz_7.74min_95597_,0.5174479935644601,-0.4449711343293348,-0.33799944215353583,-0.10775002150071904,0.6812124280022518,-1.481774688348856,0.15398513067328246,0.24986805496324227
Zm00001d018428,C_1345_225.1210mz_1.83min_20407_,0.9915909684424267,-0.14365743092288727,-0.33799944215353583,-0.19555003110075847,0.42144865726751674,-1.4745067102228928,0.15591327646712427,0.24986805496324227
Zm00001d012313,C_43504_312.1740mz_7.74min_95597_,0.2382710758916175,-0.5901539972551505,-0.05135212495617003,0.08926450291155508,2.738282553793907,-1.4647032113989225,0.15854525935472985,0.24986805496324227
Zm00001d026194,C_917_212.0385mz_1.69min_86156_,-0.26346260203743366,0.6028062627874529,0.05951267500889255,0.21832958152733628,-2.668623221771041,-1.4596515927346532,0.15991555517647504,0.24986805496324227
Zm00001d017720,C_1345_225.1210mz_1.83min_20407_,-1.5377333354096023,-0.12613695208196365,0.5299799236773146,0.3360149276339279,0.3659855541273011,1.447204949808837,0.16333295793645086,0.25128147374838594
Zm00001d009118,C_917_212.0385mz_1.69min_86156_,-0.2822372015237657,0.5171613651290417,-0.12140047101272214,0.024561705417509332,1.2023196879931,-1.382245742968772,0.18213957358136512,0.272102870479078
Zm00001d035367,C_1345_225.1210mz_1.83min_20407_,0.9295033690424146,-0.11622806203862286,-0.3129851552839256,-0.2049507800417555,0.34517411902224676,-1.3816857724931657,0.18230892322098224,0.272102870479078
Zm00001d017720,C_957_115.0039mz_1.71min_9228_,0.7058290707162025,0.2966388204345084,0.5299799236773146,0.3206036207116642,0.39506459322623694,1.3719785059910352,0.18526466393414953,0.2724480351972787
Zm00001d017720,C_43504_312.1740mz_7.74min_95597_,-0.5865759445288442,-0.358528085381572,0.5299799236773146,0.3196759733545017,0.3968149375614071,1.3405029551625534,0.19511141634371798,0.282770168614084
Zm00001d017720,C_917_212.0385mz_1.69min_86156_,0.6534102226642456,0.33310402944676853,0.5299799236773146,0.312326345626144,0.4106826849986339,1.3235823582864603,0.20057310112128324,0.28412413155017313
