Gene,log2FC_metabR_v_metabS,t,p,FDR
Zm00001d046772,-0.8837256518591254,-4.527319389627024,5.944470696027987e-05,0.011492997183195538
Zm00001d043762,-1.1480447340046762,-4.374447154874859,6.140375521720653e-05,0.011713849723159081
Zm00001d043249,-0.8896180308136845,-4.366565404423085,6.262442374427818e-05,0.011713849723159081
Zm00001d051310,-1.8398921201432232,-4.33592960819219,6.268671185454653e-05,0.011713849723159081
Zm00001d017501,-0.9119355876606461,-4.384949191120938,6.275083439024907e-05,0.011713849723159081
Zm00001d004500,-0.7350382124657103,-4.39878431316321,6.55778727314936e-05,0.012136950907074891
Zm00001d006125,0.6052551654667715,4.3295006163091285,6.635562688852823e-05,0.01217681986986602
Zm00001d050470,-0.5207332079069421,-4.527195957388967,6.857496998002116e-05,0.012478339495356119
Zm00001d015050,-0.8964696550123512,-4.651054535685985,6.978190595427297e-05,0.012592144929448558
Zm00001d028725,-0.882099972937505,-4.314243395108611,7.163045325040471e-05,0.012818891195737717
Zm00001d037542,-1.6401634778524894,-4.279341799321382,7.483834028037395e-05,0.01323490332136497
Zm00001d018149,0.8400352699880189,4.275195812146541,7.558340932059688e-05,0.01323490332136497
Zm00001d035198,-0.5760467611944238,-4.2736931623990015,7.57886770042143e-05,0.01323490332136497
Zm00001d044667,1.365544523702365,4.336943507817636,7.729304111275213e-05,0.013389628098044276
Zm00001d009112,-1.2141964041479159,-4.2660430947863395,7.811248446748711e-05,0.013424188402055285
Zm00001d036761,-0.9940209382151872,-4.26238074040111,7.985642174120153e-05,0.013615834302236047
Zm00001d051913,-1.1225220773407703,-4.262867103241531,8.065380198586529e-05,0.013644354907827555
ENSRNA049474888,1.1482182039470292,4.577345609911226,8.571008307155462e-05,0.014387334409546076
Zm00001d005306,-1.4818466075754566,-4.321537734148792,8.712378674506781e-05,0.01441369744715208
Zm00001d046828,-0.4013455971320825,-4.230911787546511,8.719840978927324e-05,0.01441369744715208
Zm00001d023371,0.8232804783836594,4.2805409178486125,9.157531858368118e-05,0.01502251476220479
Zm00001d034073,-0.970515337368488,-4.2073893615281035,9.463609741082141e-05,0.015407895137849074
Zm00001d024412,-1.197877555072377,-4.3541126105857035,9.773413631461855e-05,0.015740181550836
Zm00001d046263,-0.7992600322511292,-4.225227752005467,9.813080767354115e-05,0.015740181550836
Zm00001d035367,2.195468369518081,4.474232783559852,0.00010177889956507731,0.01620529625869253
Zm00001d019358,-0.8823687272424667,-4.188427584796776,0.00010607328907275091,0.0166538260174957
Zm00001d010279,-0.8120507548163549,-4.3899347652724785,0.0001065900563795651,0.0166538260174957
Zm00001d024941,-1.1771742458261543,-4.173078930365171,0.00010690319647325677,0.0166538260174957
Zm00001d016271,0.5435309826300592,4.375031625235075,0.0001092725916345684,0.016901347851821028
Zm00001d006711,-0.5697864099386347,-4.146329255067119,0.00011728245464274498,0.018011590587475177
Zm00001d029783,0.7269983937523525,4.241575975773122,0.00011915739965234243,0.018089460221410728
Zm00001d051687,2.182059248606558,4.21107025099631,0.00012072155826353701,0.018089460221410728
Zm00001d032873,-0.5560654495172805,-4.206498481090961,0.00012106889974150342,0.018089460221410728
Zm00001d013294,-1.7068740539458966,-4.147360012398009,0.00012113104886416161,0.018089460221410728
Zm00001d042150,-0.5626553439878347,-4.382254358345755,0.00012246696805715918,0.01816369675554606
ENSRNA049460169,1.9726972999936803,4.128103734297273,0.00012377512279252264,0.018224244657578378
Zm00001d022308,0.9474215278624065,4.2835136668929765,0.00012455842843454325,0.018224244657578378
Zm00001d032925,-0.9932433382073333,-4.133226357285361,0.0001285695485845674,0.01843392642489501
Zm00001d008752,0.6582862018965283,4.11436095117513,0.00012861303843838377,0.01843392642489501
Zm00001d032035,1.466233012787528,4.114922267215567,0.00012875578342157643,0.01843392642489501
Zm00001d019672,-0.8045818892063816,-4.211810715144983,0.00012946815432550443,0.01843392642489501
Zm00001d007884,0.6347760229321224,4.176321235957069,0.00013024802544605785,0.01843392642489501
Zm00001d049615,-0.9950712497209315,-4.102511022024378,0.00013520840555462815,0.01890369771054688
Zm00001d026671,1.023938534734294,4.115575802574969,0.00013731557673698155,0.01890369771054688
Zm00001d051238,0.9252752386550067,4.097622697198737,0.00013745193293198418,0.01890369771054688
Zm00001d038600,-0.9605062584643109,-4.146987090243596,0.00013745406486199041,0.01890369771054688
Zm00001d023617,-1.5534684845261157,-4.147123490947468,0.000137932217524079,0.01890369771054688
Zm00001d009222,-0.971790891520748,-4.117101166634826,0.00014158098570061663,0.019251328456284553
Zm00001d016591,-0.4995575494665223,-4.148338550394257,0.00014224681596959122,0.019251328456284553
Zm00001d044581,-0.9682910989038187,-4.086696453724205,0.00014936979339755818,0.02008977333062562
Zm00001d023183,-1.5413881684202688,-4.096910632669652,0.0001522163600722765,0.02034625346299429
Zm00001d044986,1.4619377138087186,4.072261248295115,0.00015407582861799848,0.020468453944135823
Zm00001d036571,-0.8512244443438428,-4.245145569776678,0.00015518302073231016,0.02048983616425271
Zm00001d044323,-1.6619047973081544,-4.151852342709305,0.00015727524542941484,0.020612895591529706
Zm00001d044774,1.5277356271896787,4.051798711564504,0.00015864892596948593,0.020612895591529706
Zm00001d037760,-0.9549402902371202,-4.105063534975671,0.00015976503237295127,0.020612895591529706
Zm00001d036543,0.9229377534839163,4.131123109952712,0.00015992271448125016,0.020612895591529706
