Gene,log2FC_RvS,t,p_welch,FDR_welch,p_wilcoxon,FDR_wilcoxon
Zm00001d013188,0.09365648085726341,0.45028331920981185,0.6536852452084634,0.847497323658488,0.996491416659101,0.9981046827483313
Zm00001d005270,0.08247026172955918,0.45036951167803535,0.6538412106303737,0.8476487801586609,0.18417608347783876,0.4750624075794068
Zm00001d042244,-0.17887170556867904,-0.4499789706986491,0.6538988065572027,0.8476726985865461,0.6569453454970497,0.8446230842895555
Zm00001d014385,-0.053670980169020055,-0.45028644671736906,0.654069421843414,0.8478402347511451,0.2182241576796602,0.5151450899809618
Zm00001d018677,-0.04481507082534025,-0.4496628720620515,0.6541260958887941,0.8478402347511451,0.7515389916271291,0.8919608289774653
Zm00001d033039,-0.06698841278355872,-0.4498267314860102,0.6541931667324923,0.8478402347511451,0.6987794006209178,0.863662622205785
Zm00001d048559,0.14229481928775867,0.44939149376961257,0.6543229346790207,0.8478402347511451,0.6729172550709903,0.850832082290507
ENSRNA049471660,0.09069793093029066,0.44943723062048185,0.6543568646519655,0.8478402347511451,0.9229311516041265,0.9699175518969064
Zm00001d023186,-0.08706381665811014,-0.4495190660375513,0.6543641239870378,0.8478402347511451,0.6729172550709903,0.850832082290507
Zm00001d027740,-0.127014128753264,-0.4493173688222953,0.6543738362465268,0.8478402347511451,0.6442792695033579,0.8391946444541959
Zm00001d042976,-0.049283000541611055,-0.4492965215771385,0.6544095247305635,0.8478402347511451,0.7851322524744835,0.9084778131389584
Zm00001d028024,0.09072076655307404,0.44917013245983145,0.6545172204620204,0.8478402347511451,0.34668566642172116,0.6401578767541528
ENSRNA049456416,-0.09291217647047034,-0.4491774492265213,0.6545214150211878,0.8478402347511451,0.8534725089052995,0.9387460612503356
Zm00001d036442,0.10233963855818118,0.44933832604323487,0.6545219655467583,0.8478402347511451,0.2993726666166072,0.5990773239918689
Zm00001d051420,0.13408995804411905,0.4494264278537449,0.6545434044750857,0.8478402347511451,0.4654124152302127,0.729816817973425
Zm00001d052927,-0.10171002355814363,-0.4490492862967792,0.6545682506273744,0.8478402347511451,0.48169474136806933,0.7397076753126852
Zm00001d048547,0.11837341244423105,0.4492468352330305,0.6545762004511704,0.8478402347511451,0.7750089937575262,0.9057666640126011
Zm00001d015290,-0.06951468925202064,-0.4497026955583714,0.6546262126735318,0.8478542980580572,0.7118451091066671,0.8709624812179777
Zm00001d025770,0.05977932938419317,0.448964462369188,0.6547262889272816,0.8479331973942198,0.9929829011624712,0.9956036366982522
Zm00001d003539,0.05107330012991085,0.4486432977157174,0.6548646887037942,0.8480617169542468,0.6601275089367524,0.8446230842895555
Zm00001d032331,-0.08507941295766441,-0.4484737699408398,0.6550006581354861,0.8481712882193949,0.5180115496991624,0.7654920626687445
Zm00001d041785,-0.08003059860940986,-0.4486326135557445,0.6550608074869333,0.8481712882193949,0.7582223542856987,0.8952803784122646
Zm00001d030675,0.07992347372635944,0.44845305595662005,0.6550668063259056,0.8481712882193949,0.8742161800852433,0.9484581974831333
Zm00001d042144,0.061318449023924304,0.44813847824659014,0.6552223989097345,0.8483220224808007,0.6099848603864306,0.8192911652901481
Zm00001d002837,0.16520478907921632,0.44806932180263165,0.655287894421059,0.8483560962449844,0.9719370311997676,0.986978262689916
Zm00001d049391,-0.09689789681486882,-0.448062477990259,0.6554057803478741,0.848377903234979,0.4441866341016586,0.715975686678377
Zm00001d028994,0.07870152169355776,0.44791884492021744,0.6554123460658161,0.848377903234979,0.5825447702141867,0.8045426656175776
Zm00001d031520,-0.0765658512678149,-0.44863716099306483,0.6554330009552265,0.848377903234979,0.6601275089367524,0.8446230842895555
Zm00001d012763,0.1016791544828779,0.44803487321173807,0.6554614538247528,0.848377903234979,0.41340797614006264,0.6935721945716987
Zm00001d005638,0.09063416327159679,0.448543155170828,0.6555409312437924,0.8483948796769843,0.03633588011912103,0.21185168231002877
Zm00001d014494,0.12520626169447002,0.44815983750881827,0.6555529291011039,0.8483948796769843,0.4789596801687681,0.7392824088940413
Zm00001d039499,-0.10875165525107722,-0.44779753391352395,0.6556239627423204,0.8484361016686909,0.8811507273634879,0.9512632291519078
Zm00001d053067,-0.11810686624048028,-0.4475410503389002,0.6557071405759756,0.8484930334667249,0.6858023206653883,0.8582536815400981
Zm00001d029934,0.13416609174085736,0.44745860664496034,0.6557993677266224,0.8485616676876176,0.9054900410207177,0.9637967630880173
Zm00001d046915,-0.10414345682740134,-0.447613116184345,0.6558388878213248,0.8485620982841161,0.9369111799870264,0.9756131133175798
Zm00001d023724,0.120346975387295,0.446889308732906,0.6561458515299126,0.8489085420940865,0.7448742128525816,0.8880419647145186
Zm00001d012224,0.1096917810301059,0.44694692754609056,0.6562787001828176,0.8490296913465607,0.7548783790331415,0.8952803784122646
Zm00001d041183,-0.08182515400494239,-0.4476031760106059,0.6563279967494795,0.8490427410008501,0.5556950890854189,0.7875014043884595
Zm00001d009638,-0.11609101564698054,-0.4464010208022513,0.6564933664511436,0.8492059353126084,0.5095069010795092,0.7589504324121684
Zm00001d043514,0.08152455657667101,0.4461637504812669,0.6566416956403281,0.849304437731498,0.5265890312790187,0.7690536779736878
Zm00001d042193,-0.09541109892829569,-0.44621814562528717,0.6566479586450882,0.849304437731498,0.7986863861095665,0.9145824962885539
Zm00001d016908,0.09685890973594269,0.446592001920266,0.6567034979906874,0.849325541748214,0.3985044203150174,0.6838813375734178
Zm00001d043224,0.09006428570092595,0.44601036666121846,0.6567764425135705,0.8493497101231546,0.5151685316775404,0.7621931801684517
Zm00001d043294,-0.07536407256038835,-0.4463240316305677,0.6568046200087969,0.8493497101231546,0.9159497830900546,0.9673694875399719
Zm00001d034920,0.0467711307590114,0.44605473858174144,0.656839856180029,0.8493497101231546,0.929918462512644,0.9730576199501687
Zm00001d013038,-0.06435600013704701,-0.445813728891932,0.6568971055214705,0.849373017433685,0.561609167314396,0.7909648721317678
Zm00001d033244,0.07811683747014753,0.4457080345402797,0.6569772902823023,0.8494259758641614,0.6348467770793798,0.832141168939279
Zm00001d001261,-0.0382738591391133,-0.4455114877102435,0.6571171731404885,0.8495561088533129,0.4235245077244938,0.7008252858219615
Zm00001d011648,0.06720818646221349,0.445428674056014,0.6571710595401339,0.8495750521362423,0.6411286382889307,0.8360230960802424
Zm00001d012007,-0.09236366755656356,-0.4454652882420733,0.6573485374054835,0.8497065129622939,0.7382284803346977,0.8850403893902969
Zm00001d010884,-0.09722687680141773,-0.44519642493407324,0.6573512286480256,0.8497065129622939,0.6922795686000622,0.8606890841399637
